	datetime	open	high	low	close	volume
0	01.10.2025 00:00	87.074	87.159	85.581	85.747	11838
1	02.10.2025 00:00	85.743	85.95	84.729	85.36	15309
2	03.10.2025 00:00	85.399	87.248	85.288	87.116	11439
3	06.10.2025 00:00	87.101	87.638	86.591	86.731	10858
4	07.10.2025 00:00	86.719	86.778	85.808	86.447	10364
5	08.10.2025 00:00	86.427	86.62	85.4	85.549	24604
6	09.10.2025 00:00	85.52	86.25	85.349	86.0	11468
7	10.10.2025 00:00	86.0	86.321	85.622	86.177	13943
8	13.10.2025 00:00	86.009	86.064	84.22	84.617	17677
9	14.10.2025 00:00	84.557	84.769	83.714	83.895	15707
10	15.10.2025 00:00	83.809	83.809	82.46	82.592	30005
11	16.10.2025 00:00	82.572	84.776	82.259	84.233	29522
12	17.10.2025 00:00	84.202	86.073	84.106	85.6	19956
13	20.10.2025 00:00	85.658	85.728	84.767	85.04	28268
14	21.10.2025 00:00	84.809	86.241	84.809	85.819	25682
15	22.10.2025 00:00	85.891	86.898	85.35	85.849	13381
16	23.10.2025 00:00	86.108	86.255	85.142	85.627	13912
17	24.10.2025 00:00	85.74	85.905	83.402	83.722	47882
18	27.10.2025 00:00	83.654	84.009	82.697	83.839	17228
19	28.10.2025 00:00	83.851	84.348	83.249	83.57	10256
20	29.10.2025 00:00	83.602	84.144	83.293	83.865	10958
21	30.10.2025 00:00	83.883	84.988	83.883	84.671	13344
22	31.10.2025 00:00	84.608	85.035	84.048	84.23	20462
23	01.11.2025 00:00	84.3	84.458	83.76	84.401	8523
24	03.11.2025 00:00	84.425	84.57	83.386	83.71	5279
25	05.11.2025 00:00	83.717	85.377	83.717	85.184	16580
26	06.11.2025 00:00	85.303	85.481	84.485	84.877	8410
27	07.11.2025 00:00	84.902	85.174	84.229	84.57	8730
28	10.11.2025 00:00	84.598	85.048	84.295	84.748	12288
29	11.11.2025 00:00	84.744	85.367	84.171	84.574	12228
30	12.11.2025 00:00	84.597	84.878	84.274	84.394	24390
31	13.11.2025 00:00	84.34	84.34	83.501	84.107	16751
32	14.11.2025 00:00	84.129	84.927	84.041	84.309	45588
33	17.11.2025 00:00	84.3	84.804	83.858	84.202	62584
34	18.11.2025 00:00	84.21	84.472	83.87	84.353	42621
35	19.11.2025 00:00	84.304	84.409	83.409	83.758	41878
36	20.11.2025 00:00	83.8	84.199	82.686	82.706	69881
37	21.11.2025 00:00	82.705	82.9	81.533	81.931	232148
38	24.11.2025 00:00	81.821	82.155	81.25	81.452	69551
39	25.11.2025 00:00	81.457	82.257	81.237	81.684	74942
40	26.11.2025 00:00	81.686	81.754	81.129	81.291	64648
41	27.11.2025 00:00	81.348	81.462	80.737	80.986	87556
42	28.11.2025 00:00	80.988	81.363	80.1	80.142	62860
43	01.12.2025 00:00	80.248	80.641	80.0	80.189	71108
44	02.12.2025 00:00	80.188	80.758	79.707	80.161	102828
45	03.12.2025 00:00	80.282	80.778	79.013	79.309	89472
46	04.12.2025 00:00	79.317	79.56	77.831	78.081	115308
47	05.12.2025 00:00	78.163	79.625	77.54	79.396	224431
48	08.12.2025 00:00	79.396	79.98	78.6	79.14	333370
49	09.12.2025 00:00	79.162	80.189	78.75	79.825	291278
50	10.12.2025 00:00	79.82	81.487	79.523	81.23	408846
51	11.12.2025 00:00	81.229	82.111	80.7	81.727	501152
52	12.12.2025 00:00	81.73	82.177	81.192	81.635	328271
53	15.12.2025 00:00	81.641	81.904	80.84	81.755	544636
54	16.12.2025 00:00	81.76	81.816	81.29	81.579	622001
55	17.12.2025 00:00	81.55	82.774	81.512	82.6	1114561
56	18.12.2025 00:00	82.602	83.492	81.93	83.24	1267159
57	19.12.2025 00:00	83.26	83.959	81.95	82.159	1569078
58	22.12.2025 00:00	82.09	82.129	80.147	80.315	1357311
59	23.12.2025 00:00	80.249	80.687	79.388	79.846	1402319
60	24.12.2025 00:00	79.805	81.112	79.565	80.221	1686887
61	25.12.2025 00:00	80.221	80.286	79.108	79.247	1150480
62	26.12.2025 00:00	79.27	80.055	78.733	79.05	1226846
63	29.12.2025 00:00	79.05	79.85	78.833	79.618	747122
64	30.12.2025 00:00	79.611	80.531	79.104	80.223	1412345
65	05.01.2026 00:00	80.265	81.819	80.2	81.66	409530
66	06.01.2026 00:00	81.714	81.853	80.713	80.87	306041
67	08.01.2026 00:00	80.946	81.495	80.579	80.793	398207
68	09.01.2026 00:00	80.8	80.905	79.85	79.88	324000
69	12.01.2026 00:00	79.9	80.78	79.622	80.43	613355
70	13.01.2026 00:00	80.44	80.615	79.987	80.33	510956
71	14.01.2026 00:00	80.328	80.534	79.374	79.559	831572
72	15.01.2026 00:00	79.551	80.387	79.158	79.46	1203008
73	16.01.2026 00:00	79.46	79.675	78.945	79.437	858010
74	19.01.2026 00:00	79.426	79.72	79.093	79.266	430293
75	20.01.2026 00:00	79.21	79.718	79.007	79.303	753346
76	21.01.2026 00:00	79.301	79.45	77.7	77.862	813169
77	22.01.2026 00:00	77.936	77.988	76.81	76.872	816440
78	23.01.2026 00:00	76.872	77.421	76.529	76.649	696580
79	26.01.2026 00:00	76.674	78.212	76.55	78.054	1175552
80	27.01.2026 00:00	78.093	78.34	77.009	77.258	885835
81	28.01.2026 00:00	77.161	77.9	76.819	77.592	1187862
82	29.01.2026 00:00	77.548	77.704	76.152	76.46	1519260
83	30.01.2026 00:00	76.46	77.56	76.305	77.258	1239373
84	02.02.2026 00:00	77.26	78.75	77.26	77.783	1245773
85	03.02.2026 00:00	77.728	78.369	77.55	78.161	1106563
86	04.02.2026 00:00	78.161	78.4	77.045	77.321	1032570
87	05.02.2026 00:00	77.32	77.687	76.699	77.56	1443273
88	06.02.2026 00:00	77.543	78.3	77.087	77.696	1191041
89	09.02.2026 00:00	77.696	78.333	77.401	77.901	888128
90	10.02.2026 00:00	77.896	78.006	77.432	77.874	854015
91	11.02.2026 00:00	77.84	78.049	77.255	77.632	798923
92	12.02.2026 00:00	77.583	77.895	77.355	77.403	632864
93	13.02.2026 00:00	77.401	77.555	76.56	76.797	813724
94	16.02.2026 00:00	76.741	77.026	76.4	76.796	558030
95	17.02.2026 00:00	76.797	76.999	76.523	76.663	216872
